filename,width,height,class,xmin,ymin,xmax,ymax
nile-fish-7-_jpg.rf.31e4278980878c47a1e6a2f8dd08ca1a.jpg,640,640,Nile_Fish,375,319,512,454
Her-8-_jpg.rf.32bcf63f4ae4d6aea53cea5b9c0059b4.jpg,640,640,Her,211,247,368,339
composite_bow-34-_jpg.rf.33153e63f7158777c50d409111917ddf.jpg,640,640,Composite_Bow,158,183,336,282
snake-6-_jpg.rf.32ac52ece4bcc06b1ead936693df17a9.jpg,640,640,Snake,181,351,318,506
king-26-_jpg.rf.329a5a8e366f4fe2e3a3dca88524ccaa.jpg,640,640,King,218,290,339,524
fish-14-_jpg.rf.32c2bcf21548386e8ea3dab04a91d17e.jpg,640,640,Fish,352,126,534,245
fish-22-_jpg.rf.3269230d2a3f6616f742ae4e75340898.jpg,640,640,Fish,290,336,426,457
canal-9-_jpg.rf.330f4f09d72d4a128afc0c046367d3b0.jpg,640,640,Canal,372,356,578,503
mother-9-_jpg.rf.3236ab666b1936299766aa96ce3bfc2d.jpg,640,640,Mother,221,94,348,294
giraffe-14-_jpg.rf.325508145b800d22da24a3091d6e6256.jpg,640,640,Giraffe,407,80,569,333
nile-fish-14-_jpg.rf.336b6bd4630ba4f3975544675c0d33f5.jpg,640,640,Nile_Fish,180,141,318,267
angry-3-_jpg.rf.332fb1ec6a56b95d603b0637d17b0b56.jpg,640,640,Angry,137,265,257,422
composite_bow-28-_jpg.rf.336df74a13a6cecf7c937d1dd3c289a2.jpg,640,640,Composite_Bow,224,176,402,302
bad-thinking-8-_jpg.rf.328a410babc6cb81db5732591fe34890.jpg,640,640,Bad_Thinking,343,149,479,365
bread-8-_jpg.rf.3354e082f535cf79db03a9dcf9041081.jpg,640,640,Bread,252,249,397,339
among-5-_jpg.rf.32e7de2b4e7524504e853eee74192da3.jpg,640,640,Among,335,148,404,288
bread-34-_jpg.rf.338441359b55d3b533c1fdecc0927f5f.jpg,640,640,Bread,318,291,485,511
foot-17-_jpg.rf.3348336b3700ad0202d4259b4ad06ba0.jpg,640,640,Foot,157,166,324,325
loaf-35-_jpg.rf.329a123bcbf9390ba7f40eec1bb414ff.jpg,640,640,Loaf,203,408,280,490
mouth-28-_jpg.rf.32e22bb888946819740563e2cfaa7be1.jpg,640,640,Mouth,189,304,323,391
cobra-31-_jpg.rf.335ab2e0e1e1b2e1d8df8def338a05a5.jpg,640,640,Cobra,261,92,373,305
giraffe-16-_jpg.rf.33ddc2ddc77bcf1a77127c8b96b816e7.jpg,640,640,Giraffe,160,251,330,474
lizard-14-_jpg.rf.33a85937460d6019ea7952c96a9eaa9a.jpg,640,640,Lizard,323,251,462,442
reed-21-_jpg.rf.34d1c401a1a9bfd1ece8795de64cca66.jpg,640,640,Reed,242,168,292,317
eye-6-_jpg.rf.34b5d59f288e47be89b45fbe0ab206e6.jpg,640,640,Eye,121,254,248,368
leg-33-_jpg.rf.33eac30d47b978b923420db16d35a9cd.jpg,640,640,Leg,266,181,343,385
bee-17-_jpg.rf.34630df052d54ce23fea17509752bd2f.jpg,640,640,Bee,382,158,507,349
among-19-_jpg.rf.34ea309e27a0a3df669424babf00b3f6.jpg,640,640,Among,267,72,352,225
canal-3-_jpg.rf.3457768d0d5984022233fcda363bd2c2.jpg,640,640,Canal,109,235,261,409
Woman-37-_jpg.rf.348d2dd34525021d5b52bb44503263d3.jpg,640,640,Woman,153,324,329,482
mascot-25-_jpg.rf.347a354243a8c310271274d723570229.jpg,640,640,Mascot,104,254,276,473
nursing-3-_jpg.rf.338276d71d75ce13d86eaff048423785.jpg,640,640,Nursing,294,308,423,452
cloth-on-pole-40-_jpg.rf.3638ac82cb6b0e578358671b88838de1.jpg,640,640,Cloth_on_Pole,318,196,436,412
not-8-_jpg.rf.358e8792f24f1a9f62b48025e31740ab.jpg,640,640,Not,168,148,243,348
Her-28-_jpg.rf.35e33fccbe681b33045dbaece3e22a70.jpg,640,640,Her,191,325,295,469
water-30-_jpg.rf.34d1dab7a2822c1c5af33a5351ad0c32.jpg,640,640,Water,205,397,329,488
leg-38-_jpg.rf.345c93040c21372da9cc66286674f8bd.jpg,640,640,Leg,156,258,301,393
soldier-37-_jpg.rf.34fcb5b6282512fe4c161e32880b62c0.jpg,640,640,Soldier,230,221,364,449
soldier-38-_jpg.rf.346f6f4090f7f33d416a745699e60d8d.jpg,640,640,Soldier,275,251,393,494
star-18-_jpg.rf.35ec059bc18de76a615feec079402639.jpg,640,640,Star,324,172,423,314
he-13-_jpg.rf.36815b856df4b700853e0a82a70bf40b.jpg,640,640,He,230,308,367,492
fingre-24-_jpg.rf.343f276615fd8c6d1ae9fdfaf561f427.jpg,640,640,Fingre,392,153,453,352
board-game-12-_jpg.rf.3507ce6d192d00bd1b822549f3bdd00a.jpg,640,640,Board_Game,330,166,475,330
stick-25-_jpg.rf.36e3ed9faaa76813415dfaef55892e7b.jpg,640,640,Stick,326,330,494,398
king-41-_jpg.rf.364d90b33c80997f469d2b8f515d2a2c.jpg,640,640,King,329,259,445,440
eye-39-_jpg.rf.36a8b994a065e0d0163977431d465ad0.jpg,640,640,Eye,283,206,424,311
wall-37-_jpg.rf.370c97b65e4937638f188d9164c74878.jpg,640,640,Wall,197,35,290,210
occur-7-_jpg.rf.36427d92fc860082d8949c18c9880a17.jpg,640,640,Occur,176,228,333,416
not-27-_jpg.rf.37565d19ffe981a2895b9bc36fbf68da.jpg,640,640,Not,210,230,330,417
ring-1-_jpg.rf.368ba73aa1883cb51eac89309e025e00.jpg,640,640,Ring,242,320,359,469
soldier-19-_jpg.rf.3693d5284a9c4190079bb5586795788f.jpg,640,640,Soldier,116,305,287,450
nurse-13-_jpg.rf.36a16d02bb0ace8fa2c0189e995e75b4.jpg,640,640,Nurse,346,166,484,318
cobra-3-_jpg.rf.3752c2d9422d667ae93059e2025c4f0d.jpg,640,640,Cobra,307,314,449,555
among-24-_jpg.rf.3676d7769b5b0705bcdd63100b478fd6.jpg,640,640,Among,228,201,299,341
birth-21-_jpg.rf.35250a0c157da183f3d4065f4f107944.jpg,640,640,Birth,253,183,345,389
ring-39-_jpg.rf.372b20931f0c248d735dc8a7e373a6a6.jpg,640,640,Ring,166,170,271,287
nile-fish-10-_jpg.rf.352f21efaf09c505e6f2b2cfa43c86f7.jpg,640,640,Nile_Fish,266,313,405,425
dessert-30-_jpg.rf.3816bc59cea42e6c82d421ee91325b5f.jpg,640,640,Dessert,124,221,342,405
nurse-11-_jpg.rf.3671feb301bb8bdc89530ed0ea9c19b0.jpg,640,640,Nurse,171,257,260,397
swallow-9-_jpg.rf.37e51b0fa7f0eb50fcb61107363e3883.jpg,640,640,Swallow,269,255,462,349
soldier-6-_jpg.rf.3772750d47046a780c40ae5453e19fdd.jpg,640,640,Soldier,264,172,388,317
semen-20-_jpg.rf.387761c11b15329b63ace25a523112fb.jpg,640,640,Semen,314,367,448,454
owl-17-_jpg.rf.3783f2ba6c9f090696d0da72272a2121.jpg,640,640,Owl,221,191,372,331
foot-1-_jpg.rf.371f08f07953a82f2f9605a9b591730b.jpg,640,640,Foot,337,125,464,287
foot-33-_jpg.rf.384c6ddd7b72bfff3e457987969732bb.jpg,640,640,Foot,151,252,333,459
length-of-a-human-arm-9-_jpg.rf.3796efe675032dfdb16d82d6440fda82.jpg,640,640,Length_Of_a_Human_Arm,190,369,321,463
giraffe-6-_jpg.rf.38799f642fc857de9134e4853769a899.jpg,640,640,Giraffe,162,246,329,417
fabric-26-_jpg.rf.378e42f1c6a3c8398277e7ce6e7a4c80.jpg,640,640,Fabric,216,303,318,492
reed-35-_jpg.rf.37b6fc6f98a9b531b77724fa58679624.jpg,640,640,Reed,192,222,246,366
mouth-36-_jpg.rf.395792aadf75515437f6d507b813f2fc.jpg,640,640,Mouth,296,260,399,361
musical-instrument-41-_jpg.rf.39f325ef07248cdc6346973b54ce684c.jpg,640,640,Musical_Instrument,228,233,363,382
